x,y,z,r,g,b
13300,28800,274,255,0,0
13400,15600,24,255,0,0
13400,16300,28,255,0,0
13400,16800,30,255,0,0
13400,18400,38,255,0,0
13400,19600,46,255,0,0
13400,24600,120,255,0,0
13500,15800,25,255,0,0
13500,21600,135,255,0,0
13600,16100,31,255,0,0
13600,17800,31,255,0,0
13700,13700,7,255,0,0
13700,18100,35,255,0,0
13800,19500,17,255,0,0
13900,13100,0,255,0,0
13900,14600,9,255,0,0
13900,22300,290,255,0,0
13900,22700,275,255,0,0
13900,27400,284,255,0,0
13900,29200,276,255,0,0
14000,16200,32,255,0,0
14000,18200,48,255,0,0
14100,12500,0,255,0,0
14100,14200,7,255,0,0
14100,15000,13,255,0,0
14100,23800,296,255,0,0
14100,25500,134,255,0,0
14100,25800,132,255,0,0
14100,26700,135,255,0,0
14300,23400,287,255,0,0
14400,18500,70,255,0,0
14400,18800,70,255,0,0
14400,22000,279,255,0,0
14400,26200,133,255,0,0
14400,26600,129,255,0,0
14400,29900,280,255,0,0
14500,15900,32,255,0,0
14500,19900,62,255,0,0
14500,20300,106,255,0,0
14600,13800,19,255,0,0
14700,8100,0,255,0,0
14700,22400,286,255,0,0
14800,8500,16,255,0,0
14800,8900,6,255,0,0
14800,11200,0,255,0,0
14800,16400,32,255,0,0
14800,18000,52,255,0,0
14800,18200,67,255,0,0
14800,20200,110,255,0,0
14800,29300,294,255,0,0
14900,13400,25,255,0,0
14900,16000,32,255,0,0
14900,17000,32,255,0,0
14900,24000,290,255,0,0
15000,19800,141,255,0,0
15000,22100,293,255,0,0
15000,29000,295,255,0,0
15100,10300,1,255,0,0
15100,15800,29,255,0,0
15100,16500,29,255,0,0
15100,22500,288,255,0,0
15100,24200,291,255,0,0
15200,9900,0,255,0,0
15200,15900,29,255,0,0
15200,16200,30,255,0,0
15200,16800,34,255,0,0
15200,17100,35,255,0,0
15200,24300,290,255,0,0
15200,27400,5,255,0,0
15300,9000,10,255,0,0
15300,13200,28,255,0,0
15300,17600,31,255,0,0
15300,22300,294,255,0,0
15400,10700,0,255,0,0
15400,16100,29,255,0,0
15400,26800,10,255,0,0
15500,9000,10,255,0,0
15500,13900,41,255,0,0
15500,15400,32,255,0,0
15500,18100,37,255,0,0
15500,18400,60,255,0,0
15500,24300,291,255,0,0
15500,24700,258,255,0,0
15600,8500,26,255,0,0
15600,9100,7,255,0,0
15700,14100,57,255,0,0
15700,17800,50,255,0,0
15700,26500,13,255,0,0
15700,27600,8,255,0,0
15800,15000,42,255,0,0
15900,13800,37,255,0,0
15900,24400,280,255,0,0
16000,8000,20,255,0,0
16000,8300,39,255,0,0
16000,9400,14,255,0,0
16100,13700,32,255,0,0
16200,6700,101,255,0,0
16200,20700,344,255,0,0
16200,24200,280,255,0,0
16200,26200,15,255,0,0
16300,13800,49,255,0,0
16500,7300,81,255,0,0
16500,13600,26,255,0,0
16500,19600,364,255,0,0
16500,20000,353,255,0,0
16500,21400,340,255,0,0
16500,24600,266,255,0,0
16600,9500,10,255,0,0
16600,17200,119,255,0,0
16600,20900,368,255,0,0
16800,5800,92,255,0,0
16800,6200,90,255,0,0
16800,13300,14,255,0,0
16800,23000,287,255,0,0
16800,23500,283,255,0,0
16800,24600,271,255,0,0
16800,24800,266,255,0,0
17000,6800,84,255,0,0
17000,7500,70,255,0,0
17100,5600,92,255,0,0
17100,8500,62,255,0,0
17100,10800,0,255,0,0
17100,17800,229,255,0,0
17200,7900,67,255,0,0
17200,22500,330,255,0,0
17300,5200,14,255,0,0
17300,6200,88,255,0,0
17300,16900,155,255,0,0
17400,10300,0,255,0,0
17400,17100,177,255,0,0
17400,19700,363,255,0,0
17400,20400,365,255,0,0
17400,23300,287,255,0,0
17500,5700,91,255,0,0
17500,9900,2,255,0,0
17500,12100,24,255,0,0
17500,16400,151,255,0,0
17500,17800,226,255,0,0
17500,22600,331,255,0,0
17600,5300,30,255,0,0
17600,10100,1,255,0,0
17600,15800,120,255,0,0
17600,26200,9,255,0,0
17700,19900,412,255,0,0
17700,20700,380,255,0,0
17700,22800,332,255,0,0
17800,21100,384,255,0,0
17800,21400,383,255,0,0
17800,22900,334,255,0,0
17900,15300,105,255,0,0
17900,16300,148,255,0,0
