x,y,z,r,g,b
20300,1700,0,0,128,0
20300,2700,0,0,128,0
20300,17700,0,0,128,0
20300,17800,0,0,128,0
20300,23600,0,0,128,0
20300,24100,0,0,128,0
20400,9900,0,0,128,0
20400,20300,0,0,128,0
20500,2400,0,0,128,0
20600,7500,0,0,128,0
20600,28700,0,0,128,0
20700,200,0,0,128,0
20700,1700,0,0,128,0
20700,21500,0,0,128,0
20800,2500,0,0,128,0
20800,3000,0,0,128,0
20800,3600,0,0,128,0
20900,2800,0,0,128,0
21000,2800,0,0,128,0
21000,4400,0,0,128,0
21000,4500,0,0,128,0
21000,22300,0,0,128,0
21100,2400,0,0,128,0
21100,15700,0,0,128,0
21100,19900,0,0,128,0
21100,23300,0,0,128,0
21100,24500,0,0,128,0
21200,0,0,0,128,0
21200,3600,0,0,128,0
21300,100,0,0,128,0
21300,5100,0,0,128,0
21300,10600,0,0,128,0
21400,2400,0,0,128,0
21500,2700,0,0,128,0
21500,10900,0,0,128,0
21500,15600,0,0,128,0
21500,19700,0,0,128,0
21600,9400,0,0,128,0
21600,24800,0,0,128,0
21600,25200,0,0,128,0
21700,5200,0,0,128,0
21800,5200,0,0,128,0
21800,10600,0,0,128,0
21800,11600,0,0,128,0
21800,19100,0,0,128,0
21900,15600,0,0,128,0
22000,1600,0,0,128,0
22000,12400,0,0,128,0
22100,400,0,0,128,0
22100,4300,0,0,128,0
22100,5400,0,0,128,0
22100,12100,0,0,128,0
22100,28600,0,0,128,0
22200,4300,0,0,128,0
22200,15400,0,0,128,0
22300,1000,0,0,128,0
22300,5500,0,0,128,0
22400,5500,0,0,128,0
22400,9800,0,0,128,0
22400,19700,0,0,128,0
22600,5900,0,0,128,0
22700,1300,0,0,128,0
22800,1000,0,0,128,0
22800,20000,0,0,128,0
22900,12100,0,0,128,0
22900,13600,0,0,128,0
23000,2600,0,0,128,0
23100,19000,0,0,128,0
23200,13500,0,0,128,0
23300,1300,0,0,128,0
23300,5100,0,0,128,0
23400,2700,0,0,128,0
23400,5300,0,0,128,0
23600,5000,0,0,128,0
23600,5700,0,0,128,0
23600,6200,0,0,128,0
23600,20200,0,0,128,0
23600,20300,0,0,128,0
23600,25900,0,0,128,0
23700,1400,0,0,128,0
23700,2700,0,0,128,0
23700,3200,0,0,128,0
23800,7400,0,0,128,0
23800,15200,0,0,128,0
23900,10100,0,0,128,0
24000,6700,0,0,128,0
24100,6800,0,0,128,0
24100,10100,0,0,128,0
24200,19800,0,0,128,0
24200,20300,0,0,128,0
24200,26100,0,0,128,0
24500,16100,0,0,128,0
24500,16600,0,0,128,0
24600,15600,0,0,128,0
24600,15800,0,0,128,0
24700,1700,0,0,128,0
24700,8000,0,0,128,0
24700,13900,0,0,128,0
24800,19300,0,0,128,0
24900,1600,0,0,128,0
24900,9900,0,0,128,0
24900,11900,0,0,128,0
25000,12700,0,0,128,0
25000,12800,0,0,128,0
25000,20200,0,0,128,0
25000,23000,0,0,128,0
25100,25900,0,0,128,0
25200,1800,0,0,128,0
25200,7400,0,0,128,0
25200,20100,0,0,128,0
25200,27100,0,0,128,0
25300,11600,0,0,128,0
25300,12300,0,0,128,0
25300,12400,0,0,128,0
25300,27100,0,0,128,0
25300,27900,0,0,128,0
25400,7600,0,0,128,0
25400,11600,0,0,128,0
25400,18600,0,0,128,0
25500,1600,0,0,128,0
25500,1800,0,0,128,0
25500,7900,0,0,128,0
25500,22400,0,0,128,0
25500,25700,0,0,128,0
25600,2200,0,0,128,0
25600,13600,0,0,128,0
25700,2300,0,0,128,0
25700,13800,0,0,128,0
25800,1600,0,0,128,0
25800,14200,0,0,128,0
25800,19700,0,0,128,0
25900,20100,0,0,128,0
26000,14300,0,0,128,0
26000,20800,0,0,128,0
26100,2500,0,0,128,0
26100,7900,0,0,128,0
26100,8200,0,0,128,0
26200,2600,0,0,128,0
26200,7900,0,0,128,0
26200,25500,0,0,128,0
26300,22600,0,0,128,0
26300,26400,0,0,128,0
26300,26500,0,0,128,0
26300,26900,0,0,128,0
26300,28100,0,0,128,0
26400,1700,0,0,128,0
26400,2800,0,0,128,0
26400,16900,0,0,128,0
26400,27500,0,0,128,0
26400,27600,0,0,128,0
26400,27900,0,0,128,0
26500,16800,0,0,128,0
26500,20400,0,0,128,0
26500,22400,0,0,128,0
26600,22100,0,0,128,0
26600,25500,0,0,128,0
26700,1500,0,0,128,0
26700,12300,0,0,128,0
26700,12400,0,0,128,0
26800,3600,0,0,128,0
26800,19000,0,0,128,0
26900,28500,0,0,128,0
27000,1200,0,0,128,0
27000,19000,0,0,128,0
27000,21500,0,0,128,0
27200,3600,0,0,128,0
27300,1200,0,0,128,0
27300,22400,0,0,128,0
27300,29200,0,0,128,0
27300,29300,0,0,128,0
27400,13700,0,0,128,0
27500,8500,0,0,128,0
27500,22000,0,0,128,0
27600,25200,0,0,128,0
27700,3600,0,0,128,0
27700,20800,0,0,128,0
27700,24900,0,0,128,0
27700,25200,0,0,128,0
27800,18400,0,0,128,0
27800,18700,0,0,128,0
27800,19000,0,0,128,0
27900,29200,0,0,128,0
28000,13200,0,0,128,0
28100,1100,0,0,128,0
28100,1200,0,0,128,0
28100,8600,0,0,128,0
28300,2000,0,0,128,0
28300,2200,0,0,128,0
28300,18600,0,0,128,0
28300,29500,0,0,128,0
28400,1700,0,0,128,0
28400,8300,0,0,128,0
28400,8600,0,0,128,0
28400,29000,0,0,128,0
28500,19000,0,0,128,0
28500,27800,0,0,128,0
28800,4700,0,0,128,0
28800,8300,0,0,128,0
28800,27800,0,0,128,0
28900,19300,0,0,128,0
29000,1100,0,0,128,0
29000,2100,0,0,128,0
29000,2200,0,0,128,0
29000,12400,0,0,128,0
29000,17100,0,0,128,0
29000,18100,0,0,128,0
29000,28700,0,0,128,0
29100,4200,0,0,128,0
29100,13200,0,0,128,0
29100,17000,0,0,128,0
29100,25400,0,0,128,0
29200,25400,0,0,128,0
29300,19400,0,0,128,0
29400,28600,0,0,128,0
