x,y,z,r,g,b
20300,1700,40,0,128,0
20300,2700,52,0,128,0
20300,17700,179,0,128,0
20300,17800,181,0,128,0
20300,23600,562,0,128,0
20300,24100,548,0,128,0
20400,9900,178,0,128,0
20400,20300,441,0,128,0
20500,2400,50,0,128,0
20600,7500,0,0,128,0
20600,28700,0,0,128,0
20700,200,28,0,128,0
20700,1700,39,0,128,0
20700,21500,546,0,128,0
20800,2500,52,0,128,0
20800,3000,55,0,128,0
20800,3600,62,0,128,0
20900,2800,54,0,128,0
21000,2800,54,0,128,0
21000,4400,70,0,128,0
21000,4500,72,0,128,0
21000,22300,549,0,128,0
21100,2400,52,0,128,0
21100,15700,112,0,128,0
21100,19900,429,0,128,0
21100,23300,546,0,128,0
21100,24500,530,0,128,0
21200,0,27,0,128,0
21200,3600,65,0,128,0
21300,100,28,0,128,0
21300,5100,84,0,128,0
21300,10600,237,0,128,0
21400,2400,52,0,128,0
21500,2700,54,0,128,0
21500,10900,254,0,128,0
21500,15600,120,0,128,0
21500,19700,404,0,128,0
21600,9400,210,0,128,0
21600,24800,520,0,128,0
21600,25200,514,0,128,0
21700,5200,84,0,128,0
21800,5200,84,0,128,0
21800,10600,254,0,128,0
21800,11600,296,0,128,0
21800,19100,379,0,128,0
21900,15600,127,0,128,0
22000,1600,35,0,128,0
22000,12400,315,0,128,0
22100,400,35,0,128,0
22100,4300,65,0,128,0
22100,5400,86,0,128,0
22100,12100,313,0,128,0
22100,28600,0,0,128,0
22200,4300,67,0,128,0
22200,15400,133,0,128,0
22300,1000,24,0,128,0
22300,5500,86,0,128,0
22400,5500,87,0,128,0
22400,9800,227,0,128,0
22400,19700,384,0,128,0
22600,5900,77,0,128,0
22700,1300,22,0,128,0
22800,1000,12,0,128,0
22800,20000,379,0,128,0
22900,12100,353,0,128,0
22900,13600,355,0,128,0
23000,2600,56,0,128,0
23100,19000,352,0,128,0
23200,13500,362,0,128,0
23300,1300,2,0,128,0
23300,5100,86,0,128,0
23400,2700,52,0,128,0
23400,5300,87,0,128,0
23600,5000,87,0,128,0
23600,5700,93,0,128,0
23600,6200,101,0,128,0
23600,20200,346,0,128,0
23600,20300,342,0,128,0
23600,25900,515,0,128,0
23700,1400,0,0,128,0
23700,2700,52,0,128,0
23700,3200,56,0,128,0
23800,7400,137,0,128,0
23800,15200,176,0,128,0
23900,10100,261,0,128,0
24000,6700,117,0,128,0
24100,6800,120,0,128,0
24100,10100,265,0,128,0
24200,19800,334,0,128,0
24200,20300,329,0,128,0
24200,26100,526,0,128,0
24500,16100,205,0,128,0
24500,16600,207,0,128,0
24600,15600,202,0,128,0
24600,15800,205,0,128,0
24700,1700,0,0,128,0
24700,8000,164,0,128,0
24700,13900,407,0,128,0
24800,19300,308,0,128,0
24900,1600,0,0,128,0
24900,9900,276,0,128,0
24900,11900,443,0,128,0
25000,12700,457,0,128,0
25000,12800,458,0,128,0
25000,20200,312,0,128,0
25000,23000,364,0,128,0
25100,25900,523,0,128,0
25200,1800,0,0,128,0
25200,7400,124,0,128,0
25200,20100,308,0,128,0
25200,27100,487,0,128,0
25300,11600,462,0,128,0
25300,12300,454,0,128,0
25300,12400,456,0,128,0
25300,27100,487,0,128,0
25300,27900,451,0,128,0
25400,7600,129,0,128,0
25400,11600,464,0,128,0
25400,18600,307,0,128,0
25500,1600,0,0,128,0
25500,1800,0,0,128,0
25500,7900,134,0,128,0
25500,22400,328,0,128,0
25500,25700,527,0,128,0
25600,2200,0,0,128,0
25600,13600,459,0,128,0
25700,2300,0,0,128,0
25700,13800,443,0,128,0
25800,1600,0,0,128,0
25800,14200,428,0,128,0
25800,19700,290,0,128,0
25900,20100,286,0,128,0
26000,14300,427,0,128,0
