X,Y,Z,Red,Green,Blue,TreeType,RoadAttribute,Moisture,Roughness,Height,Slope
245332,174381,737,255,0,0,0,0.00392157,0.054902,0.262745,737,0.59288
257752,163671,279,255,0,0,0,0,0.0588235,0.282353,279,0.59288
259492,161301,25,255,0,0,0,0.494118,0.0941176,0.282353,25,0.524876
261862,161331,232,0,255,0,1,0,0.0705882,0.25098,232,0.460703
263122,156501,134,0,255,0,1,0,0.0666667,0.286275,134,0.19635
266452,170691,170,0,255,0,1,0.00392157,0.188235,0.25098,170,0.589049
266662,167781,168,0,255,0,1,0,0.00784314,0.207843,168,0.392699
268042,171741,166,0,255,0,1,0.00392157,0.00784314,0.270588,166,0.589049
268432,172911,169,255,0,0,0,0,0.14902,0.2,169,0.589049
268672,158871,1729,0,255,0,1,0.333333,0.121569,0.262745,1729,0.524876
268822,158181,1696,255,0,0,0,0.164706,0.105882,0.258824,1696,0.59288
268852,158211,1699,255,0,0,0,0.203922,0.0901961,0.262745,1699,0.589049
269872,172641,56,0,255,0,1,0,0.0745098,0.231373,56,0.589049
245782,167121,761,255,0,0,0,0,0.0509804,0.227451,761,0.328526
245032,174681,705,255,0,0,0,0.00392157,0.054902,0.262745,705,0.392699
240562,170331,253,255,0,0,0,0,0.0823529,0.258824,253,0.460703
241612,173811,131,0,255,0,1,0,0.0941176,0.282353,131,0.392699
242482,179541,699,0,255,0,1,0.00392157,0.00784314,0.270588,699,0.524876
242752,174501,192,255,0,0,0,0,0.0705882,0.266667,192,0.589049
244402,172191,546,255,0,0,0,0.180392,0.054902,0.247059,546,0.524876
244492,172041,546,255,0,0,0,0,0.054902,0.286275,546,0.392699
246382,171471,828,0,255,0,1,0,0.0509804,0.254902,828,0.524876
247672,172341,304,255,0,0,0,0,0.113725,0.176471,304,0.524876
248842,176241,1216,0,255,0,1,0,0.105882,0.258824,1216,0.392699
249292,171771,1715,0,255,0,1,0.113725,0.0980392,0.227451,1715,0.59288
249952,166071,33,0,255,0,1,0.470588,0.054902,0.247059,33,0.589049
251092,168441,171,255,0,0,0,0.52549,0.0666667,0.27451,171,0.589049
252892,168201,264,255,0,0,0,0.533333,0.117647,0.258824,264,0.59288
256582,170841,883,0,255,0,1,0,0.203922,0.247059,883,0.524876
257392,174681,1653,0,255,0,1,0.00392157,0.0588235,0.243137,1653,0.328526
258442,170091,1454,255,0,0,0,0,0.0588235,0.258824,1454,0.528707
258592,159381,58,255,0,0,0,0.00784314,0.0509804,0.262745,58,0.589049
259852,162171,35,255,0,0,0,0,0.0588235,0.321569,35,0.528707
259882,161661,27,0,255,0,1,0.00392157,0.0705882,0.290196,27,0.524876
260092,161811,40,0,255,0,1,0,0.054902,0.278431,40,0.524876
266512,166431,176,0,255,0,1,0,0.0352941,0.235294,176,0.524876
266782,167511,172,0,255,0,1,0.00392157,0.00784314,0.270588,172,0.19635
266812,167841,168,0,255,0,1,0.00392157,0.00784314,0.227451,168,0.524876
266812,167931,170,0,255,0,1,0,0.00784314,0.231373,170,0.524876
267112,157551,1170,255,0,0,0,0,0.129412,0.27451,1170,0.59288
267202,153831,239,255,0,0,0,0.0196078,0.0745098,0.266667,239,0.59288
267532,151311,191,255,0,0,0,0,0.0588235,0.290196,191,0.589049
267592,170961,166,255,0,0,0,0,0.0196078,0.247059,166,0.392699
267802,168321,170,0,255,0,1,0,0.00784314,0.231373,170,0.392699
268222,172011,171,255,0,0,0,0.00392157,0.00784314,0.270588,171,0.392699
268372,159321,1750,0,255,0,1,0,0.0627451,0.266667,1750,0.589049
268912,160401,1945,0,255,0,1,0.490196,0.227451,0.247059,1945,0.59288
268912,171681,169,255,0,0,0,0.00392157,0.00784314,0.262745,169,0.392699
268942,172071,168,255,0,0,0,0.00392157,0.00784314,0.270588,168,0.589049
268972,160491,1954,0,255,0,1,0.133333,0.211765,0.239216,1954,0.524876
269212,171381,165,0,255,0,1,0,0.0196078,0.239216,165,0.392699
244432,176031,296,255,0,0,0,0,0.105882,0.27451,296,0.524876
240532,173811,433,0,255,0,1,0.00392157,0.0509804,0.270588,433,0.264353
240742,172101,292,0,255,0,1,0.45098,0.054902,0.282353,292,0.589049
241432,172251,237,0,255,0,1,0,0.0784314,0.286275,237,0.524876
241942,169491,368,255,0,0,0,0.00392157,0.0705882,0.27451,368,0.589049
244972,180021,792,0,255,0,1,0.00392157,0.00784314,0.270588,792,0.59288
245422,173571,708,0,255,0,1,0,0.0588235,0.27451,708,0.460703
245542,172221,712,255,0,0,0,0.52549,0.145098,0.266667,712,0.524876
245692,173931,755,0,255,0,1,0,0.105882,0.282353,755,0.524876
245842,167091,760,0,255,0,1,0,0.054902,0.247059,760,0.589049
246592,175581,290,255,0,0,0,0,0.101961,0.239216,290,0.589049
247732,168501,218,255,0,0,0,0,0.0745098,0.243137,218,0.524876
249802,167511,183,0,255,0,1,0,0.0862745,0.270588,183,0.264353
252922,168201,264,0,255,0,1,0.294118,0.121569,0.25098,264,0.460703
253912,170991,175,255,0,0,0,0,0.0901961,0.211765,175,0.392699
254752,169941,179,255,0,0,0,0,0.219608,0.270588,179,0.524876
255862,166761,809,255,0,0,0,0,0.0627451,0.235294,809,0.59288
256462,173361,1620,0,255,0,1,0.00392157,0.0470588,0.258824,1620,0.59288
257572,174441,1654,0,255,0,1,0.00392157,0.0588235,0.25098,1654,0.524876
258352,168681,1741,0,255,0,1,0,0.0627451,0.254902,1741,0.460703
258442,170211,1461,255,0,0,0,0,0.0588235,0.258824,1461,0.524876
259762,159861,46,255,0,0,0,0,0.101961,0.290196,46,0.392699
261292,158391,29,0,255,0,1,0.521569,0.0588235,0.286275,29,0.328526
261322,158061,31,0,255,0,1,0.0196078,0.0588235,0.337255,31,0.524876
261532,158871,32,0,255,0,1,0,0.0627451,0.266667,32,0.589049
